hangle,first_translate,second_translate,label
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go, I’ll have to deal with the duke’s wrath.","If I let you go, the duke will humiliate me.","well, the duke will give me hell if I just let you go."
"어이, 고용주님.","hey, boss.","hey, boss.","hey, boss."
"이놈들,",these guys...,these guys...,would you like me to...
가랑이에 달린걸 잘라 버릴까?,should I cut off their balls?,...should I cut off their balls?,...cut the things dangling between their legs?
음…,hmm...,hmm...,hmm...
"아니, 그건 좀.","no, that’s a bit much.","no, that’s a bit much.","no, that won't be necessary."
"아가씨, 감사합니다.","thank you, my lady.","Thank you, my lady.","thank you, miss."
다시는 경거망동하지 않겠습니다요.,we won’t act so recklessly again.,I won’t act so recklessly again.,we'll never step out of line ever again.
용서해주셔서 어찌나 다행인지…,we’re so glad you’re forgiving us...,we’re so glad you’re forgiving us...,thank you for forgiving us--
누가 용서를 했는데?,who said I was forgiving you?,Who said they forgave you?,who said I forgave you?
으아아악!,aack!,Aaaaargh!,aaack!
"영애, 눈을 감는 게 좋겠어요.","my lady, you should close your eyes.","My lady, you should close your eyes.","lady eunice, you should close your eyes."
귀는 제가 가려드릴 테니까요.,I’ll cover your ears.,I’ll cover your ears.,I'll cover your ears.
예?,huh?,Pardon?,yes?
예에…,okay...,okay...,"ah, all right..."
"자, 됐어.",there we go.,There we go.,"all right, we're ready."
"자르진 말고, 한 대씩 세게 두들겨 줘.","don’t cut them off, but give them each a hard whack.",Don't cut them off—just give each of them a hard hit.,"don't cut them off, but give them a good pounding."
그래.,sure.,sure.,will do.
흐갹…,ack...,ack...,gaah...
"그리고 그 전에,","but before you do,",but before you do...,"but before that,"
내 얼굴 잘 보렴.,take a good look at my face.,...take a good look at my face...,I want you both to take a good look at my face.
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you should remember who not to mess with when you take on a job.,...you should remember who not to mess with when you take on a job.,you dogs will have to remember who not to bite when you carry out my orders.
네에…,yes...,yes...,yes...
죄송합니다…,we’re sorry...,we’re sorry...,we’re so sorry...
잊을 수 있겠냐고.,do you think you can remember?,Do you think you can forget this?,we won’t forget...
설교는 이제 끝난 것 같고.,that’s enough lecturing.,I think the lecture is over now.,"I guess that's all for the sermon,"
이젠…,now...,now...,so...
집행이군!,it’s time for punishment!,It's time to carry out the execution!,...it's time for the execution!
꺄아아아아악!!,aaah!!,Aaaaargh!!,aaaaah!!
다음.,next.,You're next.,next.
커어억!!,kegh!!,Ugh!!,uuugh!!
"이곳이,",so this is...,so this is...,this place...
어둠에 삼켜진 곳인가.,...the place swallowed by darkness.,...the place swallowed by darkness.,...must have been devoured by the darkness.
시신 수습도 못 하겠네요…,we can’t even retrieve the bodies...,we can’t even retrieve the bodies...,we can’t even bury the bodies...
"전하, 앞으로 어떻게 하실 건가요?","your highness, what should we do now?","Your Highness, what will you do next?","your highness, what will you do now?"
"이쪽을 거점으로 잡고,",we’ll use this place as a base...,we’ll use this place as a base...,we'll have to set up base here...
본격적으로 숲에 있는 마물을 토벌해야겠지.,...and start hunting the monsters in the forest.,...and start hunting the monsters in the forest.,...and start hunting for demonic beasts in the forest.
피오나 영애는 아카데미의 연구원들과 있는 게 낫지 않을까.,wouldn’t it be better for lady fiona to stay with the academy researchers?,wouldn’t it be better for lady fiona to stay with the academy researchers?,wouldn't it be better for lady fiona to stay with the researchers from the academy?
제법 일이 많아 보이더군.,they seem to have a lot of work to do.,The work looks like a lot.,it seems like they have a lot of work to do.
음…,hmm...,hmm...,hm...
"위험한 곳에는 안 내보내겠다, 이거지?","he doesn’t want me to go to dangerous places, huh?","he doesn’t want me to go to dangerous places, huh?","he’s saying this because he doesn't want to put me in danger, huh?"
전하.,your highness.,Your Highness.,"your highness,"
사적인 일과 공적인 일은 구분해야죠.,we should separate our personal and official matters.,We should separate our personal and official matters.,you shouldn’t let your private feelings get in the way of your official duties.
내가 있을 곳은 이곳이 아니야.,this isn’t where I belong.,I shouldn't be in this place.,this is not where I belong.
알잖아?,"you know that, right?","You know, right?",you know that.
발그레…,blush,She blushed.,blush
"미인계, 통했다.",my charms worked.,"I used my feminine wiles, and it worked.",I see my beauty is working like a charm.
일단 황제 폐하께 칙령도 받은 몸이니 열심히 일하죠.,let’s do our best since we’ve been given a decree by his majesty.,Let’s work hard since we received a decree from His Majesty.,"since his majesty has given me direct orders, I should do my best to make myself useful."
초반만 아주 잠깐 나갔다 와.,just go out for a little while at the start.,You should just step out briefly at the beginning and come back.,you can come along for a little bit at first.
와아.,wow.,wow.,wow.
…아벨이 빨리 돌아와서 네 대타가 되어야 하는데.,abel needs to come back soon and take your place.,I hope Abel comes back soon and takes your place.,I hope abel gets here quickly so he can replace you.
스승님을 부려 먹을 생각뿐이구나.,you’re just trying to make your master do all the work.,You’re only thinking about bossing your master around.,look at you trying to make your teacher do all the hard work.
여전히 사이가 좋으시네요.,you two are still getting along well.,You two still get along well.,I see you’re both still two peas in a pod.
…대체 어딜 봐서요?,how do you figure...?,how do you figure...?,what in the world would make you say that?
"이런, 어딜 봐도 어린 시절처럼 다정하신데요.","oh my, you’re as close as you were when you were young.",You two are just as affectionate as you were when you were kids.,"well, you're still just as close as you were when you were kids,"
겉모습이야 두 분 다 콩나물처럼 쑥쑥 자라셨지만.,you’ve both grown up so much.,Both of you have shot up like bean sprouts on the outside.,only now you've both grown like a pair of beanstalks.
어.,oh.,oh.,oh.
"경, 이거 떨어뜨렸어요.","sir, you dropped this.","Sir, you dropped this.","sir knight, you dropped this."
아. 고맙습니다.,"oh, thank you.","Oh, thank you.","ah, thank you."
경의 물건인가요?,is this yours?,Is this your lordship's possession?,is it yours?
네. 좀 보실래요?,yes. would you like to see?,Would you like to take a look?,"yes, would you like to take a look?"
집에 두고 온 아내예요.,"it’s my wife, who I left at home.","It’s my wife, who I left at home.",that's my wife who's waiting for me back home.
떠나기 전에 듣자 하니 임신했다더군요.,I heard she was pregnant before I left.,I heard that she was pregnant before I left.,I was told she was with child just before I left.
와악!,wow!,Ahhh!,wow!
그런 건 빨리 좀 말해요!,you should have told me that sooner!,You should tell me things like that sooner!,why didn't you tell us sooner?!
제 옆이 아니라 부인 곁에 있어야 되잖아요?!,"you should be with your wife, not me!","you should be with your wife, not me!","you should be with your wife, not out here next to me!"
"어쩔 수 없죠, 임무니까.",I can’t help it. it’s my duty.,I can’t help it. It’s my duty.,I can’t help it if it’s my duty.
그래도 주군께서 예정일 전에 돌아가게 해 준다고 하셨으니까요.,but his highness said he’d let me go back before the due date.,But my lord said he would let me return before the due date.,and duke abel has given me permission to go home before the baby is born.
"아벨, 사람 부려 먹는 게 너무 독해!","abel, you’re so harsh!","Abel, you work people way too hard!",abel is always driving his men too hard!
"좋아요,","all right,","all right,",all right.
제가 더 빨리 헤일론으로 돌아갈 수 있도록 해줄게요.,I’ll help you get back to heylon even faster.,I’ll help you return to Heylon even faster.,I'll try to get you back to heylon as soon as possible.
감사합니다!,thank you!,Thank you!,thank you!
너 말이지.,"you know,",I'm talking about you.,you know...
아무리 서두르는 이유가 있다고 해도,"even if you have a reason to hurry,","even if you have a reason to hurry,","even if you have a reason to rush,"
숲에 번개를 난사하면 아군이 겁을 먹는단 말이다.,you shouldn’t shoot lightning in the forest. it scares our troops.,"If you recklessly shoot lightning in the forest, it scares our allies.",you just ended up scaring our men when you shot lightning at them to get them to hurry.
아하하…,ahaha...,ahaha...,ahaha...
그래도 덕분에 일찍 끝났는걸.,"but thanks to that, we finished early.","But thanks to that, we finished early.","well, it got the job done quickly, didn’t it?"
어.,oh.,Oh.,"oh,"
유니스 영애!,lady eunice!,lady eunice!,lady eunice!
피오나 영애!,lady fiona!,lady fiona!,lady fiona!
