ko	en
It takes two to tango	한 사람 혼자서 책임이 없다. 두 사람 모두 책임이 있다
Every dog has its day	쥐구멍에도 볕들 날 있다. 누구에게나 적어도 하후 이루는 좋은 날은 있다
out of the blue	느닷없이
Let someone off the hook	책임을 물지 않다. 궁지에서 구해주다
No pain, no gain	원하는 것이 있다면 노력해야 한다
Out of the frying pan and into the fire	여우를 피해서 호랑이를 만났다
manage to	간신히 해내다
You can lead a horse to water, but you can't  make him drink	물가에 말을 데려갈 수는 있으나 마시게는 할 수 없다. 가르쳐 줄 수는 있으나 배우는 것은 본인 몫이다
take a rain check	다음을 기약하다
a stone’s throw away	매우 가까운 거리
come across	우연히 마주치다
Weather the storm	어려운 일을 헤쳐나가다
fall apart at the seams	자제력을 상실하다
Speak of the devil	호랑이도 제 말 하면 온다
Through thick and thin	좋을 때나 나쁠 때나
It is a poor workman who blames his tools	당신이 그 일을 할 수 없다면, 그것에 대해서 다른 사람들 탓하지 마라
have an ax to grind	꿍이가 있다
It's a piece of cake	누워서 떡 먹기다, 아주 쉬운일이다
Birds of a feather flock together	비슷한 사람들끼리 친해진다(보통 부정적으로 사용됨)
The devil is in the detail	멀리서 보면 문제가 없지만 가까이서 보면 아닌 것
brass monkey weather	몹시 추운 날씨
When it rains it pours	모든 일이 동시에 더 나빠진다
pull for	지지하다, 지원하다
Make a long story short	무엇인가를 간략하게 말하다
Kill two birds with one stone	일석이조
A little learning is a dangerous thing	선무당이 사람 잡는다. 애매한 지식은 모르는 게 낫다
Don't count your chickens before they hatch	무엇인가 좋은 일이 정말로 일어나기 전에 일어났다고 의지하지 마라.
He’s a chip off the old block	부전자전
Like two peas in a pod	그들은 항상 같이 있다
Under the weather	몸이 안 좋은. 건강하지 못한, 아픈
By the skin of your teeth	아주 조금
Snowed under	바쁘다
Have your head in the clouds	뜬구름 잡고 있다, 엉뚱한 생각한다
Your guess is as good as mine	나도 몰라
Live and learn	실수를 했다
like an oven	푹푹 찌게 더운
Call it a day	그만하다
A storm in a teacup	작은 문제에 대해서 소란스럽다
The early bird gets the worm	먼저 도착하는 사람들이 최고의 것을 얻는다
Better late than never	늦더라도 하지 않는 것보단 낫다
We'll cross that bridge when we come to it	그 문제에 대해서는 지금 당장 이야기하지 말자
An ounce of prevention is worth  a pound of cure	치료보다 예방이 좋다. 일을 막는 게 고치는 것보다 쉽다
The early bird gets the worm	일찍 일어나는 새가 벌레를 잡는다
Get a second wind	피곤한 다음에 에너지가 더 생기다
Speak of the devil	호랑이도 제말하면 온다더니!
It takes two to tango	한쪽만 책임이 있는 것이 아니다
Kill two birds with one stone	일석이조, 일거양득, 한 번에 두 가지 일을 해결하다
On cloud nine	매우 행복하다
under one’s wing	~의 보살핌을 받고 있는
Do something at the drop of a hat	미리 계획하지 않고 무엇인가를 하다
You can lead a horse to water, but you can't make him drink	누군가에게 옳은 결정을 하라고 강요할 수 없다
to boot	게다가
add fuel to the fire	불 난 집에 부채질하다
Go on a wild goose chase	헛수고하다
give (someone) a break	봐주다
Hit the nail on the head	정곡을 찌르다
To make matters worse	문제를 더 악화시키다
in the flesh	실제로, 직접
Well begun is half done	좋은 시작은 중요하다
have a crush on	반하다
A penny for your thoughts	당신이 생각하는 것을 제게 말해 주세요
A perfect storm	생각할 수 있는 최악의 상황
Call it a day	일을 그만하다, 퇴근하다
You can catch more flies with honey than you can with vinegar	착하면 원하는 것을 얻을 것이다
Easy does it	살살하다
Have your head in the clouds	집중하고 있지 않다
Pull someone's leg	누군가를 놀리다, 누군가에게 장난을 치다
Don't cry over spilt milk	어떻게 할 수 없는 것에 대해서는 불평할 이유가 없다
Like riding a bicycle	어떻게 하는지 결코 잊어버리지 않는 무엇인가
There is no such thing as a free lunch	공짜는 없다.
A stitch in time saves nine	문제가 심해지기 전에 고쳐라. 문제는 제때 해결해라
To get bent out of shape	화를 내다
Shape up or ship out	더 잘할 거 아니면 떠나라. 제대로 할거 아니면 떠나라
A storm(영국에선 tempest) in a teacup	작은 일을 가지고 난리를 친다
Get wind of something	무엇인가 비밀인 것에 대한 뉴스를 듣다
two cents	충고
Burn bridge	관계를 파탄 내다
Birds of a feather flock together	유유상종, 비슷한 사람들은 비슷하게 행동한다
Give someone the benefit of the doubt	누군가 말하는 것을 믿다
Throw caution to the wind	위험을 감수하다, 모험을 하다
Jump on the bandwagon	트렌드를 따르라, 다른 사람이 하는 것을 하라
He's off his rocker	그는 미쳤다
A penny saved is a penny earned	돈을 아끼는 것은 돈을 버는 것이다
if worst comes to worst	최악의 경우에는
Hear something straight from the horse's mouth	관계자로 부터 무엇인가를 듣다
A perfect storm	일어날 수 있는 최악의 상황
On thin ice	위험한 상태, 아슬아슬
There's a method to his madness	미친 것처럼 보이지만 실제로 영리하다
Comparing apples to oranges	비교될 수 없는 두 가지를 비교하다
be about to~	막 ~하려고 하다
hit the nail on the head	정곡을 찌르다
Don't count your chickens before they hatch	설레발치지 말자
Run like the wind	빨리 달리다
Know which way the wind is blowing	상황을 이해하라(보통 부정적임)
The pot calling the kettle black	똥 묻은 개가 겨 묻은 개를 욕한다
By the skin of you teeth	간발의 차로, 간신히, 가까스로
bank on	의지하다
It takes one to know one	그렇게 말하는 너야말로 그렇다
can’t hold a candle to ~	~와 상대가 되지 않다.
Do unto others as you would have them do unto you	"사람들을 공정하게 대하다. ""황금 규칙""으로도 알려져 있음"
lay it on thick	과장하다
Wrap your head around something	복잡한 무엇인가를 이해하다
Go back to the drawing board	다시 하다. 재시작. 백지로 되돌리다
Take it with a grain of salt	너무 심각하게 받아들이지 말아라.
rain cats and dogs	비가 억수로 내리다
An apple a day keeps the doctor away	사과는 몸에 좋다. 사과를 먹자
He's not playing with a full deck	그는 멍청하다
target acquired	찾았다! 목표 발견
You can't make an omelet without breaking some eggs	무엇을 하려면 항상 희생이 따른다
throw (something) together	급히 만들다
Let sleeping dogs lie	긇어 부스럼 만들지 마라. 괜히 언급하지 마라
Run like the wind	매우 빠르게 달리다
A picture is worth 1000 words	백번 말하는 것보다 한번 보여주는 것이 낫다
Under the weather	아프다
Slow and steady wins the race	서두르면 일을 망친다. 차근차근 꾸준히
As right as rain	완벽한, 건강한
kick around	함부로 대하다
Fortune favors the bold	행운은 용감한 자를 좋아한다, 위기를 두려워하지 말자
Come rain or shine	비가 오나 눈이 오나, 무슨 일이 있더라도, 반드시
Break a leg	행운을 빈다
Hit the nail on the head	정곡을 찌르다, 정확하다
A snowball chance in hell	가망이 없는, 희망이 없는, 가망 없는 희망
Take it with a grain of salt	너무 심각하게 받아들이지 말라
Throw caution to the wind	위험을 감수하다
It was a poor workman who blames his tool	서투른 일꾼이 연장 탓을 한다
tell apart	구별하다
Miss the boat	너무 늦다
Go down in flames	화려하게 실패하다
Leave no stone unturned	샅샅이 봐라
so to speak	말하자면
throw in the towel	그만두다, 기권하다
Time flies when you're having fun	재미있을 때는 얼마나 지났는지 알아채지 못한다
Don't put all your eggs in  one basket	올인 하지 마라, 네가 하고 있는 것은 위험하다
on and off	오락가락
Easy does it	(명령) 천천히, 살살해라
yank (someone’s) chain	괴롭히다
Burn bridges	관계를 망치다
Make hay while the sun shines	좋은 상황을 이용하다
Look before you leap	돌다리도 두르려 보고 건너라
Like two peas in a pod	판박이, 매우 닮은, 똑같이 생긴
Let sleeping dogs lie	문제를 더 이상 논의하지 마라
break the mold	고정관념을 깨다
Time is money	빨리 일해라
Get something out of your system	하고 싶은 것을 해서 더 이상 원하지 않게 하다
Those who live in glass shouldn't throw stones	자기 자신이 떳떳지 못하면 남을 비난하지 마라
Break a leg	행운을 빌다. 주로 출연하는 배우들한테 사용
Break the ice	불편한, 서먹한 분위기를 깨다, 편하게 하다
Spill the beans	비밀을 밝히다. 누설하다
Jump on the bandwagon	대세를 따르다. 시류에 편승하다
There are clouds on the horizon	문제가 생 길려 한다, 문제가 보인다
at the drop of a hat	순식간에
Barking up the wrong tree	엉뚱한 사람을 비난하다, 잘못된 곳에서 해결책을 구하다
prescription after death	사후약방문
The whole nine yards	모든 것, 전부
Give the benefit of doubt	속는 셈 치고 믿어주다, 불안하지만 믿어준다
He has a bigger fish to fry	더 중요한 일이 있다
a walk in the park	쉬운 일, 식은 죽 먹기
Familiarity breeds contempt	누군가를 더 잘 알면 알수록 그를 덜 좋아하게 된다
lose touch	연락이 끊기다
Rain on someone's parade	초를 치다, 훼방을 놓다, 흥을 깨다, 분위기를 망치다
Go down in flame	엄청난 실패
Good things come to those who wait	기다리면 복이 온다, 인내하라
Once bitten, twice shy	전에 다친적이 있으면 더 조심한다
in a daze	어리둥절한 상태인
go back to the drawing board	다시 시작하다
Spill the beans	비밀을 누설하다
Ignorance is bliss	모르는 것이 낫다
turn to	의지한다
You can catch more flies with honey than you can with vinegar	친절하면 원하는 것을 얻을 것이다
Hear something straight from the horse's mouth	당사자에게서 직접 듣는다
Comparing apples to orange	비교해서 안될 것을 비교하는 행위
Get wind of something	소식이나 비밀에 대해 알게 되다
a bit thick	지나친, 과도한
There are other fish in the sea	이 기회를 놓쳐도 괜찮다. 다른 것이 생길 것이다.
be dying to~	~하고 싶어 죽겠다
perfect storm	설상가상
He's sitting on the fence	그는 결정을 할 수 없다
It is always darkest before the dawn	해가 뜨기 전이 가장 어둡다. 잘 될 것이다
Calm before the storm	폭풍 전 고요
have sticky fingers	손버릇이 나쁘다, 도벽이 있다
A penny for your thoughts	무슨 생각을 하고 있는지 얘기해봐
harf in the back	만취한
Water under the bridge	이미 지나간 일
throw cold water on	찬물을 끼얹다
The best thing since sliced bread	매우 좋은 생각 또는 발명품, 매우 좋은 것
Fit as a fiddle	건강한, 신체가 탄탄한
story of my life	내 팔자가 이렇지 뭐
good thing come in small package	작은 고추가 맵다, 가치는 크기와 상관없다.
Cut the Mustard	기대하는 만큼 좋다, 기대에 부응하다
Well begun is half done	시작이 반이다
long shot	가능성이 희박한 시도
A little learning is a dangerous thing	어떤 것에 대해서 완전히 알지 못하는 사람들은 위험하다
Fit as a fiddle	건강하다
Fortune favours the bold	위험을 감수하다
Go on a wild goose chase	의미 없는 행동을 하다
Get a taste of your own medicine	자업자득, 인과응보
There's no such thing as a free lunch	어떤 것도 완전하게 공짜인 것은 없다
Don't beat dead horse	뒷북치지 마라, 끝난 일에 메이지 마라
Give someone the cold shoulder	누군가를 무시하다
at a time	한번에
Let the cat out the bag	무심코 비밀을 누설하다
a pat on the back	칭찬
Haste makes waste	무엇인가를 서두르면 실수를 할 수 있다
Put something on ice	일을 잠시 중단하다
by the skin of your teeth	아주 조금
Curiosity killed the cat	그만 물어 보아라
Get a taste of your own medicine	자기가 한대로 당한다(부정적)
A snowball's chance in hell	기회가 전혀 없다
Know which way the wind is blowing	상황을 이해하다, 파악하다
hit the books	공부하다
thick and fast	끊임없이
Come rain or shine	무슨 일이 있든지
