ko	en
가려운 데를 긁어주다	to scratch an itch
가방끈이 짧다	to be a (high school) dropout
가슴에 못을 박다	to break sb's heart
(가슴에) 칼을 품다	to hold / to have a grudge against sb
가슴이 내려앉다	sb's heart sinks
가슴이 뜨끔하다	to prick sb's conscience
가슴이[가슴에] 찔리다	to prick sb's conscience
간발의 차이	a close call
갈 길이 멀다	"1. to have miles to go
2. to have a long way to go"
강 건너 불구경	to sit on sb's hands
개판 오 분 전	a complete mess
경종을 울리다	to be a wake-up call
고삐 풀린 말[망아지]	1. a bull in a china shop
골머리(를) 앓다	"1. to rack sb's brain
2. to bother one's head about"
꼬리(를) 치다	to flirt with sb
꿈(을) 깨다	"1. to dream on
2. to burst sb's bubble"
낯을 못 들다	can't look sb in the eye
눈(을) 속이다	"1. to pull the wool over sb's eyes
2. to throw dust in sb's eyes"
눈독(을) 들이다	to have sb's eye on
돈방석에 앉다	"1. to be sitting on a gold mine
2. to be rolling in dough"
뚜껑 열리다	"1. to blow sb's top
2. to hit the ceiling / roof
3. to lose sb's temper4. to fly off the handle"
뜨거운 맛을 보다	"1. to burn sb's fingers
2. to get sb's fingers burned"
뜬구름 잡다	to have sb's head in the clouds
막다른 골목	"1. a dead end
2. a blind alley"
맞아도 싸다	"1. sb deserves it
2. serves sb right"
머리 굴리다	to rack sb's brain
머리(를) 맞대다	to put sb's heads together
머리(를) 식히다	to cool down
머리에 피도 안 마르다	to be wet behind the ears
면목(이) 없다	to lose sb's face
모가지가 날아가다	"1. to get the sack
2. to make heads roll"
목을 매다	to be hung up on 
무덤을 파다	to dig sb's own grave
물고 늘어지다	to pounce on
물과 기름이다	to be like oil and water
물불을 가리지 않다	to stop at nothing
미운털이 박히다	to be in sb's bad books
밑도 끝도 없다	"1. out of the blue
2. out of nowhere"
바가지(를) 쓰다	"1. to pay over the odds
2. to pay through the nose"
바닥이 나다	to run out of
밤낮을 가리지 않다	day and night
손 씻다〔털다〕	to wash sb's hands of 
손(이) 크다	"1. to be free-handed
2. to be open-handed"
손가락 하나 까딱 않다	 
숨이 턱에 닿다 [턱까지 차오르다]	to be out of breath
식은 죽 먹기	a piece of cake
양다리(를) 걸치다	"1. to have it both ways
2. to two-time
3. to double-cross"
어깨가 무겁다	to carry the weight on sb's shoulders
엎지른〔엎질러진〕 물	"1. to cry over split milk
2. there's no going back"
염장 지르다	to rub it in
오지랖이 넓다	to be nosy
온실 속에서 자란 화초	to live a sheltered life
입만 살다	all bark and no bite
입만 아프다	to waste sb's breath
잔뼈가 굵다	to be an old hand at
종지부를 찍다	"1. to put an end to
2. to put a period to"
주사위를 던지다	the die is cast
줄 타다	to walk a tightrope
쥐도 새도 모르게	without a trace
찬물을 끼얹다	"1. to kill (sb's) vibe
2. a buzzkill"
철벽 치다	to curve sb
코를 납작하게 만들다	to take sb down a peg or two
피도 눈물도 없다	cold-blooded
필름(이) 끊기다	to black out
하늘의 별 따기	to ask for the moon
하루가 멀다 하고	"1. every other day
2. almost everyday"
한 귀로 흘리다	to go in one ear and out the other
한 배를 타다	be in the same boat
한눈을 팔다	to be sidetracked to have a wandering eye (used in romantic relationship)
한 치 앞을 못 보다	can't see beyond the end of sb's nose
해가 서쪽에서 뜨다	wonders never cease
혀를 내두르다	"1. dumbfounded
2. to be lost for words"
화살을 돌리다	to pass the buck
한 발 늦다	"1. sb missed the boat
2. day late and a dollar short"
시간 가는 줄 모르다	to lose track of time
한 발 빼다	to have one foot out the door
어이가 없다	"1. that's rich
2. sb must be joking"
궁지에 몰리다	to be on the ropes to be in a tight spot
해볼 테면 해보라고 대들다	"1. to be on the ropes
2. to be in a tight spot"
간 보다	to test the waters
비장의 무기	an ace up sb's sleeve
