ko	en
가랑이가 찢어지다	"""Struggling in poverty"" / ""Overreach and suffer"""
가마를 태우다	Smooth-talk someone into it
가슴에 새기다	Engrave it in your heart.
가슴에 손을 얹다	Listen to your conscience.
가슴을 쓸어내리다	Breathe a sigh of relief.
가슴을 쥐어뜯다	Heart-wrenching grief.
가슴이 콩알만 하다[해지다]	Heart shrinking with fear.
가시(가) 돋치다	Sharp-tongued.
가시방석에 앉다	On pins and needles.
가시밭길을 가다	Walk a rough road.
간(이) 떨어지다	Jump out of one's skin.
간(이) 크다	Fearless and daring.
간(이) 붓다	Act recklessly.
간담이 서늘하다	Chilled to the bone.
간도 쓸개도 없다	Spineless and shameless.
간에 기별도 안 가다	Not enough to satisfy my hunger.
갈 데까지 가다	Push it to the limit.
감투를 씌우다	Give a hollow title
개뿔도 없다	Flat broke.
거짓말을 밥 먹듯 하다	Lie constantly.
걱정도 팔자다	Making pointless worries
걱정이 태산이다	Overwhelmed with worries
걸신(이) 들린 듯이	Eating like a ravenous beast.
걸음마를 떼다	Take the first step.
고혈을 짜내다	Bleed someone dry.
골로 보내다	Send someone to the grave.
골이 깊어지다	Drift apart
과거가 있다	A complicated past
구경도 못 하다	Never get to see
국물도 없다	Nothing in return.
군침(을) 삼키다[흘리다]	Eye something greedily.
귀(가) 밝다	Sharp-eared for news
귀청(이) 떨어지다	Deafening.
귓등으로도 안 듣는다	Turn a deaf ear.
근처에도 못 가다	Not even close.
급한 불을 끄다	Handle the urgent issue first.
긴말할 것 없다	No need to say much.
꼬리(가) 길다	Leave evidence too long.
꿀(이) 떨어지다	Eyes filled with love.
나 몰라라 하다	Look the other way
놀고 있다	Not behaving properly
누구 할 것 없이	All without exception
눈뜨고 볼 수 없다 / 눈뜨고는 못 봐주다	Too painful to watch.
눈물이 앞을 가리다	Tears blur vision.
눈 밖에 나다	Fall out of favor
눈앞에 보이는 것이 없다	Blind to reason.
눈앞이 캄캄하다	Feel lost in despair.
눈에 거슬리다	An eyesore.
눈에 넣어도 아프지 않다	Adorably precious.
눈을 의심하다	Can't believe my eyes
눈이 많다	Under many eyes.
눈이 낮다	Has low standards
눈이 높다	Set the bar high.
눈이 뚫어지게	Gaze fixedly
눈 하나 깜짝 안 하다	Not even flinch.
다름 아닌	None other than
닥치는 대로	At random
담(을) 쌓다	Stay out of it
더위(를) 먹다	Overcome by the heat
덜미(를) 잡히다	Get caught in the act.
독 안에 든 쥐	A rat in a trap.
돈벼락(을) 맞다	Strike it rich.
돈을 먹다	Accept a bribe
뒤(가) 구리다	Having a guilty secret.
뒤를 캐다	Uncover someone's secrets
뒤통수(를) 맞다	Get stabbed in the back
등(을) 돌리다	Cut ties with
등에 업다	Backed by power
딱 잘라	Cut and dried.
땅(이) 꺼지게〔꺼지도록〕	With a deep, heavy sigh.
땅바닥에 떨어지다	Hit rock bottom
똥 밟다	Step into trouble.
뜸 들이다	Play the waiting game
마음이 콩밭에 가다	Mind is elsewhere.
마음이 굴뚝 같다	Eager to do something.
말이 아니다	It's a disaster.
말도 안 되다	That doesn’t make sense.
머리 꼭대기에 앉아 있다	Have someone figured out
머리가 돌아가다	Quick thinking
목 놓아	Cry out loud
목에 힘을 주다	Act high and mighty
목을 풀다	Warm up the voice.
물 흐리다	Spoil the atmosphere
발목(을) 잡다〔붙잡다〕	Tie someone down
밥 먹듯 하다	Do something routinely
별 볼 일 없다	Nothing noteworthy.
병나발(을) 불다	Chug from the bottle
보는 눈이 있다	Has an eye for things
불 보듯 뻔하다	As clear as day
사서 고생(을) 하다	Bring trouble upon oneself.
사족을 못 쓰다	Powerless to resist
선수(를) 치다	Get a head start.
선심 쓰다	act generously
선을 긋다	Set boundaries.
소설(을) 쓰다	Make up a story.
속(이) 시원하다	Feel relieved
속(이) 타다	Burning with worry.
속(이) 터지다	Burn with frustration
속에 없는 말[소리]	Empty words.
손(이) 맵다	Packs a surprising punch.
손(을) 뻗치다	Extend influence
손가락 안에 들다	Be in the top few
손끝 하나 못 대다	Stay out of it.
손바닥 뒤집듯	Flip like a switch.
손발이 맞다	Be in sync
손안에 넣다	Have in one's grasp
손에 넘어가다	Change hands
손에 땀을 쥐다	On the edge of one's seat.
손에 잡히다	Be in the groove.
손을 보다	Repair / Punish
손이 발이 되도록〔되게〕 빌다	Plead desperately for mercy.
숨도 제대로 못 쉬다	Walk on eggshells
시도 때도 없다	At all hours.
시치미(를) 떼다	Pretend to know nothing.
쐐기를 박다	Seal the deal.
안개에 싸이다	Shrouded in mystery.
입(을) 맞추다	Keep your stories straight.
한술 더 뜨다	Make things even worse
허리가 휘어지다	Weighed down with burden.
허리를 못 펴다	Hang one's head
활개(를) 치다	Run wild
