hangle,first_translate,review,idiom
생각보다 좀 걸리네.,it’s taking longer than expected.,It's taking longer than I thought.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
붕대 가는 건 별로 안 걸릴 것 같았는데.,I thought changing his bandages wouldn’t take so long.,I thought changing his bandages wouldn’t take so long.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
‘세상 물정 모르는 아가씨’라고 말하는 눈,siegren is looking at me as if he thinks I’m clueless about how things work around here.,Siegren is looking at me as if he thinks I’m clueless about how things work around here.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
아까 말하려다 못한 이야기를 하려고 했건만.,but I wanted to tell him something important just now.,I was going to say what I couldn't earlier.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
나도 나름 열심히 일을 하고 있다구.,"I’ve been working very hard too, you know.","I've been doing my best to work hard too, you know.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
시그렌은 대체 왜 날 싫어하는 걸까?,why does siegren dislike me so much anyway?,Why does Siegren dislike me so much?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
사실 유년 시절의 시그렌의 성격에 대해서는 생각해 본 적이 없다.,"to be honest,  I never really gave any thought to what kind of person siegren used to be when he was younger.","To be honest, I never really thought about Siegren's personality as a child.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그래서 통 감이 안 잡힌단 말이야.,that’s why I don’t understand this situation at all.,That's why I can't get a grasp on it at all.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
애초에 소설은 여주인 유니스의 시점으로 진행 되었고…,"the novel was written from eunice’s perspective,","The novel was originally told from the perspective of the heroine, Eunice...","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그 이야기 속에서 시그렌에게 부여된 역할은 간단했다.,and siegren had only one role within that story.,Siegren's role in that story was simple.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"잘생기고, 헌신적이고, 다정하고.","handsome, devoted, affectionate,","handsome, devoted, kind.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
오직 유니스에게만 사랑을 주는 완벽한 연인.,and loving toward eunice alone... the perfect lover.,A perfect lover who gives love only to Eunice.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
누구나 한 번쯤은 비현실적인 사랑을 받는걸 꿈꾸지 않는가?,doesn’t everyone dream of receiving such unrealistic love once or twice in their lives?,Doesn't everyone dream of receiving unrealistic love at least once?,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"항상 날 신뢰하고, 내 편으로 있어 줄 사람을.",a man who always trusts them and stays by their side no matter what.,A person who always trusts me and stays by my side.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"그런 시그렌의 성격만 상상했으니까,","all I ever imagined were those aspects of siegren’s personality,","Since I had only imagined that side of Siegren's personality,","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
지금 어떻게 다뤄야 할지 모르겠어.,so I have absolutely no idea how to deal with him right now.,I don't know how to deal with him right now.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
