hangle,first_translate
하아.,sigh
화내버렸다.,I lost my temper again.
피오나 넌 욱하는 경향이 있어.,"fiona,  you tend to act impulsively sometimes."
시그렌 말이 맞았네… 그런 것 같아.,it looks like sigren was right... maybe he’s onto something there.
난 그래도 내가 온건한 편이라고 생각했는데…,but I thought  I was pretty level-headed compared to others...
"아냐, 애초에 이런 일을 안 저지르면 되잖아!",no! they shouldn’t do things like this in the first place!
사람들이 정말 발전이 없네. 한결같이 최악이야.,humans never change. they’re always at their worst.
어딜 함부로 돌아다니는 건지 모르겠구나.,where does she think she is? why is she wandering around so freely?
꽤 한가한 모양이야.,she must not have much work to do these days.
그린 백작 부인.,countess green.
짜증 나는 일은 정말 몰아서 오는 법이로구나.,"when it rains, it pours."
제집에서 돌아다니는 것인데 무엇이 문제인가요.,this is my home. what problem could anyone possibly have about me walking around?
이곳이 네 집이라고?,your home?
네가 참 과분한 착각을 하고 있구나.,that’s quite some delusion you’ve got going on.
아~ 정말로 한 대 때리고 싶군.,"gah, I really wanna hit her."
헛된 꿈은 버리고 썩 이곳에서 나가거라.,Give up your futile dreams and get out of here.
시궁창 쥐새끼처럼 먹을 게 없을까 달라붙어서는.,clingy little pest.
"참자, 참아.","calm down, calm down."
나는 이성을 가진 사회인이다…….,I’m supposed to be a rational adult...
"아니지,","wait, no."
생각해보니 굳이 계속 참을 필요가 없잖아.,"now that I think about it, I don’t need to hold back anymore."
"애초에 저쪽에서 먼저 건 싸움이고,","they started all this anyway,"
난 지금까지 충분히 참았다.,and I’ve been patient enough already.
본래 싸워야 할 상황에서는 피하지 말고 싸워야 하는 법!,you have to fight when it’s time to fight!
그것이 헤일론의 격언 …!!!,as house haylon would say--
"…이지만,","but if we attack the family properly now, our stay will only drag on longer..."
제대로 가문을 공격하면 머무르는 기간이 길어질 거고…,"but if we attack the family properly now, our stay will only drag on longer..."
"손 쓸 것도, 생각해야 할 것도 많을 텐데…",then there’ll just be more stuff to deal with and worry about...
"뭐, 이젠 됐어 마음을 정했다.","well, whatever. I made up my mind."
"당신에게 감사드려요,","thank you very much,"
부인.,my lady.
덕분에 뭔가 제대로 할 마음이 들었어요.,"thanks to you, I feel motivated to take action."
뭐…?,pardon...?
나는 그린 가를 포함해 어느 것에도 얽매이고 싶지 않다.,"I don’t wish to be tied down by anything or anyone, including house green."
"그러니 이번에도 상속은 깔끔하게 포기하고,",so I had planned to give up any inheritance rights once again...
그린 가에 있는 내 호적을 정리할 생각이었고.,...and remove myself from the household register while I’m at it.
"부인의 사주를 받았을 하녀,","the maid you sent after me,"
"그녀를 통해 보인 부인의 마음, 그리고 이런 행동들.","the feelings you showed through her, and everything else you did..."
"부인,","lady green,"
전 이곳에서 보석 하나도 가지고 나가지 않을 거예요.,I won’t leave this place with even one jewel.
그러니 괜한 염려는 하지 마세요.,don’t waste your energy worrying over nothing.
하지만,but...
그 보석을 당신들이 가지게 놔두지도 않을 거야.,nor will I let you people have those jewels either.
기왕이면 이들이 마음껏 욕심부리고 탐욕적으로 굴었으면 한다.,I want them to be as greedy as possible.
웃었어?,is she laughing?
"그래야, 눈앞에서 놓쳤을 때 절망감이 더욱 커질 테니까.","if they are, then they’ll despair even further when they lose everything before their eyes."
전 이 집에서의 모든 걸 버리고 나갈 생각인걸요.,I plan to throw away every last thing related to this estate.
"그날,","on that day,"
나는 아벨에게 편지를 보냈다.,I wrote a letter to abel.
내용은 간단했다.,it said simply:
"이전에 언급하셨던 퇴직금,",can I receive...
지금 받을 수 있을까요?,...the retirement pay you mentioned earlier?
생각보다는 빨리 왔군.,she came sooner than expected.
하여간 얘도 은근히 무른 구석이 있단 말이지….,"still, I guess she has her soft spots too..."
솔직히 여기까지는 예상한 바다.,"to tell you the truth, I saw this coming."
…그렇다고 해도,"even so,"
피오나 그린은 이상한 아이다.,fiona green is still a strange child.
어릴 때부터 지금까지 줄곧 이상했다.,"from childhood till today, she’s remained peculiar."
"평소에는 사탕처럼 달콤하고 다정하게 굴다가도,","at times, she acts sweetly and affectionately like candy,"
어느때는 단호하고 냉정해진다.,"while other times, she becomes firm and cold-hearted."
그동안 피오나는 최선을 다해 헤일론을 지켰다.,"all this time, fiona protected house haylon with all her might."
"그래서,","thus,"
피오나도 이제 이 영지를 아끼게 된 줄 알았다.,I assumed she’d grown attached to this territory herself.
"하지만 떠나라고 말하자,","but upon being told to leave,"
피오나는 정말 일말의 미련 없이 떠났다.,she left without looking back.
…섭섭하군.,how disappointing.
나도 이러니,"if I felt this way,"
시그렌 녀석은 충격을 받을 만해.,067(sigren) imagine how shocked sigren must be.
피오나는 5년간 시그렌을 제 몸처럼 아꼈다.,"for five whole years, fiona treated him like her own flesh and blood."
시그렌~!,sigren!
‘피오나가 시그렌을 좋아하는 게 아닐까?,rumors spread far and wide saying “fiona likes sigren!”
…하는 소문이 돌 정도로.,rumors spread far and wide saying “fiona likes sigren!”
하지만,but...
피오나는 시그렌조차 이곳에 내버려 두었다.,...even sigren was abandoned by fiona.
"마치 이제 내 의무는 끝났어,","it’s almost as though she declared,"
라고 말하는 것처럼.,“my duty is done.”
"…피오나는 어릴 적부터 이 사회의 어느 것에 속하거나,",fiona seems reluctant to belong anywhere in society...
인간관계에서 영향을 주고받는 것 자체를 꺼리는 듯해.,...or form relationships where emotions influence each other.
이유는 알 수 없지만.,not that I know why.
아벨...,abel...
……이 아니라 스승님.,"or rather, master."
들어와라.,come in.
늦었다.,you took your time getting here.
부르자마자 바로 온 겁니다.,I arrived immediately after receiving your summons.
왜 부르셨는지는 모르겠지만요.,though I don’t know why you called me.
어디 한번 계속 그런 식으로 굴어 보거라.,let's see how long you can keep acting like that.
방금 피오나에게 편지가 온 참인데.,a letter from fiona happened to arrive just now.
정말 딱 용건만 있군요.,"right to the point, huh?"
너와 관련된 내용이 없다고 답지 않게 툴툴거릴 생각이냐?,do you intend to complain despite knowing none of its contents concern you?
애초에 기대도 안 했습니다.,I didn’t expect otherwise.
그리고,"moreover,"
이제는 아무래도 상관없습니다.,it doesn’t matter anymore.
제가 그녀를 만나러 갈 테니까요.,I’m off to meet her soon.
그래.,indeed.
"‘나는 현 황실과 사이가 좋지 않고,","“I am currently estranged from the imperial palace,"
더불어 네가 황가의 사생아란 사실도 알고 있다.’,and I also know you’re an illegitimate son of the royal family.”
…라고 몇 년 전에 이야기했었지.,that’s what I told you several years ago.
…네.,yes...
스승님은 정식 황자로 인정받는 게 어떠냐고 하셨죠.,"back then, you asked whether I wanted official recognition as prince."
그래.,that’s correct.
그 때 너는 아무런 대답도 하지 못했고.,and you couldn’t answer me at the time.
그랬었죠.,that’s right.
"복수와 삶, 평온을 두고 망설였으니까.","after all, you were torn between revenge, living, and peace."
그런 네가 최근,"recently however,"
내 제안에 결정을 내렸다.,you decided to accept my offer.
"하지만 시그렌,","but sigren,"
네가 수도로 돌아가고 싶다면 그에 걸맞은 공적을 세워야 한다.,"if you truly desire to return to the capital, you must achieve feats worthy of such status."
너는 지금 아무것도없는 황가의 사생아야.,"currently, you’re merely an illegitimate member of the royal family with nothing to show for yourself."
"하지만 헤일론이란 가문을 등에 업고,",but if you carry the name of house haylon behind you...
수도의 백성이 환호성을 지를 공적을 세운다면 상황은 달라진다.,"...and accomplish deeds which earn cheers from the citizens of the capital, circumstances may shift in your favor."
그러니,"therefore,"
‘황자 시그렌’의 존재를 각인시킬 무언가가 필요해.,we require something to solidify the existence of “prince sigren” in everyone’s minds.
예를 들어…,"take, for example..."
"척박한 영지 헤일론에서 마물의 우두머리 격인 존재를 잡아,",...a story about a prince who saved countless lives...
수많은 사람들을 구한 황자의 이야기라든가.,...by defeating a monster leader within barren territory haylon.
"네가 조건만 다 갖춘다면,","if you fulfill the conditions,"
필요한 무대는 내가 마련해주마.,I shall provide you with the necessary stage.
그러니 황자의 자리를 되찾고,so if you wish to reclaim your position as prince...
고향으로 돌아가고 싶다면.,"...and go back to your homeland,"
"살아야 한다, 시그렌...","you must survive, sigren..."
시그렌!,Sigren!
