Korean	English
 골골	❶ : meow ❷ : mew ❸ : purr ❹ : yeow ❺ : mreow ❻ : me-yow
갸웃(거리다/대다)	❶ : confused ❷ : ponder ❸ : scan ❹ : study  ❺ : tilt
갸웃(거리다/대다)	❶ : tilt ❷ : analyze ❸ : inspect ❹ : ponder ❺ : study
게슴츠레	squint
고롱고롱	❶ : purr ❷ : yeow ❸ : mreow ❹ : me-yow
곰곰	❶ : analyze ❷ : inspect ❸ : ponder ❹ : study ❺ : scan ❻ : tilt
구구구구	❶ : chirp chirp ❷ : coo coo
구릿	❶ : stench ❷ : stink ❸ : reek
궁시렁	❶ : grumble ❷ : mumble
그르르	grrr
긁적	❶ : scratch ❷ : ruffle ❸ : scruff
까드득	❶ : crack ❷ : snap
까딱	twitch
까악	caw
깍	caw
깐족	tease
깐죽	tease
깜빡	❶ : blink ❷ : flash
깜짝	❶ : surprised ❷ : gasp ❸ : flinch ❹ : jolt ❺ : wince
깨랑	mumble
꺄르르	❶ : hahaha ❷ : hehehe ❸ : bwahaha ❹ : pfft ❺ : puahaha ❻ : giggle ❼ : chuckle
꺄아	❶ : ahhhh ❷ : aaaaahhhhh ❸ : kyaaa ❸-🅐 : (Usage) Feminine. 
꼬르륵	❶ : grumble ❷ : growl ❸ : rumble
꼬르륵	gurgle
꼬옥	❶ : squeeze ❷ : clench ❸ : grab ❹ : grip
꼬옥	❶ : squeeze ❷ : grab
꼴깍	gulp
꼴꼴	❶ : pour ❷ : glug
꼼지락	❶ : fidget ❷ : twiddle ❸ : wriggle
꼼질	❶ : fidget ❷ : twiddle ❸ : wriggle
꽈악	❶ : embrace ❷ : grab ❸ : hug ❹ : squeeze
꽈악	❶ : squeeze ❷ : clench ❸ : grab
꽈악	❶ : clench ❷ : grip
꽉	❶ : squeeze ❷ : clench ❸ : grab
꽉	❶ : clench ❷ : grip
꽝	❶ : boom ❷ : kaboom
꾸깃	glare
꾸벅	nod
꾸벅	❶ : nod ❷ : bow
꾸욱	❶ : press ❷ : crush ❸ : push ❹ : smash ❺ : squeeze ❻ : squish ❼ : clench ❽ : grab
꾸욱	❶ : grit ❷ : clench ❸ : droop ❹ : slouch ❺ : slump ❻ : drop ❼ : sink
