hangle,first_translate,idiom_translate,label,idiom
마차에 여자가 있다!,there's a woman in the carriage!,there's a woman in the carriage!,she’s inside that carriage!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
당장 사로잡아!,capture her!,capture her now!,get her now!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
젠장!,damn it!,damn it!,damn it!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
포위하고 있었나!,they were surrounding us!,they surrounded us!,we’re surrounded!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"이자크 경, 리안더 경.","sir isaac, sir lyander.","sir isaac, sir lyander.","sir isaac, sir lyander.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
아가씨!?,miss fiona?!,miss fiona?!,my lady?!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
나오시면 안된다니까요!!,you can't come out of the carriage!!,you shouldn't come out!!,you mustn’t step out of the carriage!!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
우리 그냥 평소대로 할까요?,shall we just do what we always do?,should we just do what we always do?,should we just do what we always do?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
어?,huh?,huh?,huh?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
땅에서 웬 빛이…,why is the ground glowing...?,why is the ground glowing...?,what is this light coming out of the ground?,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
으아악!!,aaah!!,aaah!!,aah!!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
와악!!,agh!!,agh!!,argh!!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
아하하…,ahaha...,ahaha...,ahaha…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
아가씨의 마법은 참 언제 봐도…,miss fiona's magic is always so...,miss fiona's magic is always so...,her magic is always astonishing to watch…,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
"이자크 경, 리안더 경.","sir isaac, sir lyander.","sir isaac, sir lyander.","sir isaac, sir lyander.","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
호위를 부탁드릴게요.,please protect me.,please guard me.,I’ll need you to back me up...,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
제가 선두에 나설 테니까요!,I'll take the lead!,I'll take the lead!,…as I take the lead!,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
보자.,let's see.,let's see.,let’s see.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
다른 놈들은 전부 기절했고.,"the rest of them have fainted,",the rest of them are unconscious.,"most of the attackers have fainted,","마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
남은 건 이 녀석뿐이네요.,so this one is the only one left.,there's only one left.,and he’s the only one left standing.,"마음이 물러지면 당하고, 약하면 죽는다 : If you show mercy, you suffer; if you're weak, you die."
