hangle,first_translate,idiom_translate,label,idiom
"어둠에 빨려 들어가기 직전,","right before I was sucked into the darkness,","right before I was sucked into the darkness,","before I got sucked into the darkness,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"잠깐이지만,","even if it was just for a moment,","even if it was just for a moment,","it was only for a brief moment,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
어둠이 다가오는걸 막을 수 있었어.,I was able to stop the darkness from coming toward me.,I was able to stop the darkness from taking over.,but I was able to stop the darkness from coming closer.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"나는 혹시,",does that mean...,does that mean...,could it be that...,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
어둠을 조종할 수 있는 걸까?,...I can control the darkness?,...I can control the darkness?,...I can control the darkness?,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
그러면 또 한가지 의문이 생긴다.,then that raises another question.,then that brings up another question.,then that leaves me with another question.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
원작의 피오나는 어둠을 통제할 수 없었다.,the original fiona couldn't control the darkness.,the original fiona couldn’t control the darkness.,fiona in the original novel couldn't control the darkness.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
그런데 왜 나는 성공했을까?,so why was I able to succeed?,so why was I able to do it?,so how come I can do what she couldn’t?,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"같은 육체, 같은 재능인데.",we have the same body and the same talent.,we have the same body and the same talent.,we have the same body and abilities.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
이것도 고민해봤자 답이 안 나오네~,I guess I won't be able to find an answer even if I think about it.,I guess I won’t be able to find an answer to this either.,"this is another question I just can't seem to figure out,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"머리 아프다, 머리 아파.",this is giving me a headache.,this is giving me a headache.,and it's giving me a massive headache.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
아~ 배부르다~,"ah, I'm so full!","ah, I’m so full!","oh, I'm so full.","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"렐턴 후작님, 어지간히도 고마웠나 봐.",marquess relton must have been really grateful.,marquess relton must have been really grateful.,marquess relton must really appreciate what we did.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
이렇게 맛있는 요리를 많이 내주다니.,he served us so many delicious dishes.,he prepared so many delicious dishes for us.,he served so many good dishes.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
…그러게.,yeah...,yeah...,I know...,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
으음~,hmm...,hmm...,hm...,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
어디 안 좋은가?,does he not feel well?,is he not feeling well?,is he not feeling well?,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
아까도 많이 안 먹던데.,he didn't eat much earlier either.,he didn’t eat much earlier either.,I noticed he barely ate his food.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
…이번에 파견단에 와 보기를 잘했어.,I'm glad I came with the envoy this time.,I’m glad I came with the envoy this time.,I'm glad I joined this mission...,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
…왜?,why?,why?,why is that...?,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
소득이 있었잖아.,we gained something from it.,we were able to gain something.,"I got a lot out of it,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
아카데미 사람들도 생각보다 괜찮았고.,the people at the academy were nicer than I thought.,the people at the academy were better than I thought.,and it was nice to meet people from the academy too.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"그 사람들, 목숨 빚을 졌다고 생각하고 있으니까…","they think they owe me their lives,","they think they owe me their lives,","they think they  owe us for saving their lives,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
나중에 분명 호의적인 태도를 보일 거야.,so I'm sure they'll be nice to me later.,so I’m sure they’ll be friendly to us later.,and I'm sure  they'll be forever grateful.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"게다가,","on top of that,","on top of that,","also,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
나 생각보다 대단한 사람이었다고.,I realized I'm more amazing than I thought.,I realized I’m more amazing than I thought.,I was a lot more amazing than I thought.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"어둠,",I was able to control the darkness...,I was able to control the darkness...,"it wasn’t easy,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
힘들었지만 내가 분명 통제했었거든.,...even though it was hard.,...even though it was hard.,but I was able to control the darkness.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
분명 어둠 토벌에 엄청난 도움이 될 거야.,I'm sure it'll be a huge help in defeating the darkness.,I’m sure it’ll be a huge help in defeating the darkness.,I know I'll be of tremendous help when the time to stop the darkness comes.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
…또 어둠에 관여할 생각이야?,are you thinking of getting involved with the darkness again?,are you planning to get involved with the darkness again?,are you thinking of getting involved in the darkness again...?,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
물론!,of course!,of course!,of course!,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
피오나.,fiona.,fiona.,fiona.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
피오나!,fiona!,fiona!,fiona!,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
얼음같이 차가운 그 몸에,"her body was as cold as ice,",his body was as cold as ice.,"when I felt her body grow cold as ice,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
세상이 무너지는 듯 했다.,and it felt like the world was crumbling.,it felt like my world was collapsing.,it felt like my world was coming to an end.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
도움 줄 필요 없어.,you don't need to help.,you don’t need to help.,you don't need to help.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"기뻐하지는 않더라도,","I didn't expect him to be happy,","I didn’t expect him to be happy,","I didn't think he'd be happy to hear it,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
축하 정도는 해줄 줄 알았는데.,but I thought he'd at least congratulate me.,but I thought he’d at least congratulate me.,but I thought he'd at least congratulate me.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
…왜?,why...?,why?,why not...?,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"저번 같은 행동,",don't ever...,don’t ever...,I never want you to...,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
두 번 다시 하지 마.,...do something like that again.,...do what you did last time again.,...repeat what you did ever again.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
말도 안 되고 무모한 짓이야.,it's reckless and absurd.,it’s reckless and dangerous.,that would be unbelievably reckless.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
그래도 내가 한 행동은 옳았어.,but what I did was right.,but what I did was the right thing to do.,"but still, I did do the right thing.","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
알고 있어.,I know.,I know.,"I know that,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
반성의 여지는 충분해.,there's plenty of room for reflection.,there’s plenty of room for reflection.,but there's a lot that could have gone wrong.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
나는 그 자리의 책임자였잖아.,I was the person in charge there.,I was the one in charge there.,"I was responsible for everyone there,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
그게 최선이었다고.,it was the best I could do.,it was the best I could do.,so it was the best decision I could make.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
"맞아, 실은 네가 옳아.",that's right. you're actually right.,"yes, you’re right.","yes, you’re absolutely right.","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
너는 큰 전력이야.,you're a great asset.,you’re a great asset.,"you may be a great force of power,","세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
가끔은 생존을 우선시해야 할 때가 있어.,"sometimes, you need to prioritize survival.","sometimes, you need to prioritize your own survival.",but there are times when we must prioritize survival.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
그리고 어둠에 대한 정보는 너한테도 도움이 되잖아.,and the information about the darkness will be helpful to you too.,and the information about the darkness is helpful to you too.,but I thought knowledge of the darkness could  be helpful for  you too.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
난 그런 마음으로 싸웠어.,that's why I fought.,that’s why I fought.,that's why I went in to fight.,"세상이 무너지는 듯 했다 : It felt like my world was collapsing
억지를 써서라도 너를 잃고 싶지 않아 : Even if I have to be stubborn, I don't want to lose you
그런 소리를 다 할 줄 아네 : I didn't expect you to say something like that"
