hangle,first_translate,second_translate
"『금일 오후,","“my lady,","""This afternoon,"""
온실에서 있을 티 파티에 영애를 초대하고 싶습니다.』,I would like to invite you to a tea party in the greenhouse this afternoon.”,I would like to invite you to a tea party in the greenhouse this afternoon.
"『시간이 나신다면 꼭 참석해 주세요,","“please attend if you have the time,",I sincerely hope you can attend if you have the time.
헤더 아덴 자작 영애.』,lady eunice heather arden.”,Lady Heather Arden.
"이 사람,",isn’t this...,"This person,"
어제 시그렌이랑 일이 있었던 그 영애 아냐?,...the lady who caused trouble with siegren yesterday?,Isn't she the lady who was involved with Siegren yesterday?
그런 사람이 여는 티파티에 내가 가도 되는 건가?,should I really go to a tea party hosted by someone like that?,Should I really attend a tea party hosted by someone like that?
내가 괜히 신경 쓸 만한 이유는 없지.,"well, there’s no reason for me to be worried.",There's no reason for me to care.
잘못한 건 그쪽이고.,she’s the one who did something wrong.,She's the one at fault.
어쩌면 티파티에서 유니스를 만날 수 있을지도 모르니까.,and I might be able to see eunice at the tea party.,Maybe I'll be able to see Eunice at the tea party.
기쁜 마음으로 응하겠다고 전해줘.,tell her I’ll be happy to attend.,Tell her I’ll be happy to attend.
유니스 영애.,lady eunice.,Lady Eunice.
피오나 영애…!,lady fiona...!,Lady Fiona...!
유니스 영애도 초대받은 건가요?,were you invited to the tea party as well?,"Lady Eunice, were you invited as well?"
네.,yes.,Yes.
피오나 영애와는 같은 일행임에도 계속 얼굴을 볼 수가 없었네요.,"we’ve been traveling together, but I haven’t seen you at all.","Even though we were in the same group, I hardly got to see you."
전 말을 타고 있었거든요.,I’ve been riding a horse.,I was riding a horse.
…그래도 마차에도 와 주세요.,you should come to the carriage too...,"…Still, please come to the carriage too."
혼자서는 심심해서….,it’s boring by myself...,I get bored when I'm alone...
주변에 온통 기사랑 병사라서 쓸쓸했나 봐.,she must have been lonely with only knights and soldiers around her.,"She must have felt lonely, surrounded entirely by knights and soldiers."
어서 오십시오.,welcome.,Welcome.
이쪽이 온실입니다.,this is the greenhouse.,Here is the greenhouse.
아가씨께서는 안쪽에서 기다리고 계십니다.,my lady is waiting inside.,The young lady is waiting further inside.
"어머나,","oh my,","Oh my,"
"피오나 영애,","lady fiona,","Lady Fiona,"
유니스 영애…,lady eunice...,Lady Eunice...
초대에 응해주셔서 감사해요.,thank you for accepting my invitation.,Thank you for accepting my invitation.
기다리고 있었답니다.,I’ve been waiting for you.,I've been expecting you.
"와, 역시 화려한 미인이야.","wow, she really is a stunning beauty.","Wow, just as expected, she's a stunning beauty."
이런 사람이 시그렌에게 달려들었단 말이지.,I can’t believe someone like her threw herself at siegren.,Someone like her actually went after Siegren?
"자, 어서 앉으세요.","please, have a seat.","Please, have a seat."
"네, 고마워요.","yes, thank you.","Yes, thank you."
이쪽은 근처 영지의 영애들이에요.,these are ladies from nearby territories.,these are ladies from nearby territories.
명성이 자자한 두 분을 만나서 영광이에요.,it’s an honor to meet such renowned ladies.,It’s an honor to meet such renowned ladies.
네…,yes...,Yes...
잘 부탁해요.,it’s nice to meet you.,I hope we get along.
뭐지?,what’s this?,What is this?
묘하게 시선이 불온한 것 같은 느낌이….,I feel like they’re giving me strange looks...,I have a feeling that their gazes are somewhat unsettling...
헤일론 영애는 북부에 있었다면서요.,"I heard you were in the north, lady fiona.","I understand that you were in the north, Lady Heilron."
맞아요.,that’s right.,That's right.
힘들지는 않았나요?,wasn’t it difficult?,Wasn't it hard?
거기에는 굉장히 야만적이고 잔혹한 마법사가 산다고 들었는데….,I heard a very barbaric and cruel sorcerer lives there...,I've heard that a very barbaric and cruel sorcerer lives there.
사람 사는 곳이라 다들 비슷하답니다.,it’s just like any other place where people live.,People are the same everywhere.
"아니, 이 소문 여기까지 돌았냐!",what? that rumor spread all the way here?!,What? That rumor spread all the way here?!
"소문 이야기가 나와서 말인데요,","speaking of rumors,","Since we're on the topic of rumors,"
듣자 하니…,I heard...,I heard that...
영애의 핏줄은 조금 특별하다면서요?,...your bloodline is a bit special.,I heard that your bloodline is a bit special.
본래는 헤일론 쪽이 아니라고 들었어요.,they say you’re not originally from house hylon.,I heard you weren’t originally from the Hylon family.
"제가 알기로는,","from what I know,","From what I know,"
사생아라던데.,you’re an illegitimate child.,They say you’re an illegitimate child.
"네, 맞는 말이에요.","yes, that’s true.","Yes, that's correct."
전 사생아입니다.,I am an illegitimate child.,I am an illegitimate child.
