hangle,first_translate,second_translate,label
너희를 이대로 보내면 내가 공작한테 더러운 꼴을 당해서.,"if I let you go now, I’ll be the one who’ll have to face the duke’s wrath.","If I let you go now, I’ll be the one who has to suffer the duke’s wrath.","well, the duke will give me hell if I just let you go."
"어이, 고용주님.","hey, employer.","Hey, boss.","hey, boss."
"이놈들,","you bastards,",You punks.,would you like me to...
가랑이에 달린걸 잘라 버릴까?,should I cut off what’s between your legs?,Should I cut off what’s between your legs?,...cut the things dangling between their legs?
음…,um...,Hmm...,hmm...
"아니, 그건 좀.","no, that’s a bit much.","no, that’s a bit much.","no, that won't be necessary."
"아가씨, 감사합니다.","thank you, my lady.","thank you, my lady.","thank you, miss."
다시는 경거망동하지 않겠습니다요.,we won’t ever act so recklessly again.,I will never act recklessly again.,we'll never step out of line ever again.
용서해주셔서 어찌나 다행인지…,we’re so glad you forgave us...,I'm so relieved you forgave me...,thank you for forgiving us--
누가 용서를 했는데?,who said I forgave you?,Who said you were forgiven?,who said I forgave you?
으아아악!,aack!,Aaaah!,aaack!
"영애, 눈을 감는 게 좋겠어요.","my lady, you should close your eyes.","My lady, you might want to close your eyes.","lady eunice, you should close your eyes."
귀는 제가 가려드릴 테니까요.,I’ll cover your ears.,I'll cover your ears for you.,I'll cover your ears.
예?,huh?,What?,yes?
예에…,okay...,uh... yeah...,"ah, all right..."
"자, 됐어.",there we go.,there we go.,"all right, we're ready."
"자르진 말고, 한 대씩 세게 두들겨 줘.","don’t cut them off, but give them a good whack.","Don't cut them off, but give them each a good hard whack.","don't cut them off, but give them a good pounding."
그래.,sure.,Alright.,will do.
흐갹…,ugh...,Ack...,gaah...
"그리고 그 전에,","but before that,","but before that,","but before that,"
내 얼굴 잘 보렴.,take a good look at my face.,take a good look at my face.,I want you both to take a good look at my face.
"의뢰를 수행할 때, 물지 말아야 할 상대가 누군지는 기억해야지.",you should remember who not to bite when you’re carrying out a job.,Remember who not to bite when carrying out a job.,you dogs will have to remember who not to bite when you carry out my orders.
네에…,yes...,Yes...,yes...
죄송합니다…,I’m sorry...,I'm sorry...,we’re so sorry...
잊을 수 있겠냐고.,do you think you’ll be able to forget?,Think you can forget?,we won’t forget...
설교는 이제 끝난 것 같고.,I think that’s enough lecturing.,I think that’s enough lecturing.,"I guess that's all for the sermon,"
이젠…,now...,Now...,so...
집행이군!,it’s time for the punishment!,Time for the execution!,...it's time for the execution!
꺄아아아아악!!,aaah!!,Aaaah!!,aaaaah!!
다음.,next.,Next.,next.
커어억!!,kegh!!,Gah!!,uuugh!!
"이곳이,",is this...,Is this... a place swallowed by darkness?,this place...
어둠에 삼켜진 곳인가.,...the place that was swallowed by darkness?,Is this a place swallowed by darkness?,...must have been devoured by the darkness.
시신 수습도 못 하겠네요…,we won’t even be able to recover the bodies...,We can’t even recover the bodies.,we can’t even bury the bodies...
"전하, 앞으로 어떻게 하실 건가요?","your highness, what will you do now?","Your Highness, what will you do going forward?","your highness, what will you do now?"
"이쪽을 거점으로 잡고,",we’ll use this place as a base...,We’ll use this place as a base.,we'll have to set up base here...
본격적으로 숲에 있는 마물을 토벌해야겠지.,...and start exterminating the monsters in the forest.,...and properly begin hunting down the monsters in the forest.,...and start hunting for demonic beasts in the forest.
