hangle,first_translate,second_translate
"피오나 영애,","lady fiona,","lady fiona,"
최근 황태자 전하께서 유흥가에 금화를 뿌리며 돌아다닌다는 걸 아시나요?,did you know that the crown prince has been throwing gold coins around in the red-light district?,did you know that the crown prince has been tossing gold coins around in the entertainment district?
유흥가요?,the red-light district?,The entertainment district?
"네, 정말 알고 싶지 않지만…","yes, I really didn’t want to know about it,","Yes, I really don't want to know, but..."
유감스럽게도 프리실라 가문의 정보망에 걸려서요.,"but unfortunately, the priscilla family’s intelligence network picked it up.","Unfortunately, it got caught in the Priscilla family's intelligence network."
네에…,I see...,Yeah...
현대 사회로 따지면 술집에서 여자를 끼고 지폐를 뿌리는 사람이군.,so he’s like a man in modern society who throws money around in a bar while surrounded by women.,"So, in modern terms, he's like a man who throws money around in a bar while surrounded by women."
우히히힛,hehehe,Hehehe
피오나 영애.,lady fiona.,Lady Fiona.
영애를 응원하고 있어요.,we’re rooting for you.,We're rooting for you.
아시죠?,"you know that, right?","You know, right?"
걱정 마세요.,don’t worry.,Don't worry.
한 방 먹일 준비는 다 되었답니다.,I’m ready to get back at him.,I’m ready to get back at them.
귀청 떨어지겠네…,that’s so loud...,My ears are going to burst...
경기 하나 끝났다고 저렇게 함성을 지르는 거야?,why are they cheering so much just because one match ended?,Are they really cheering that loudly just because one match ended?
아가씨.,my lady.,My lady.
출입구 인원 배치는 다 끝났습니다.,we’ve finished stationing people at all the entrances.,We've finished positioning the personnel at the entrances.
"그리고, 다음 경기가 오늘의 메인이라더군요.","also, the next match is the main event of the day.","Also, the next match is said to be today's main event."
그래?,really?,Is that so?
여러분!,ladies and gentlemen!,Everyone!
오래 기다리셨습니다!,thank you for waiting!,The wait is over!
오늘은 정말 여태껏 공개한 적 없는 마물을 소개하겠습니다!,"today, we will introduce a demonic beast that has never been revealed before!","Today, we will introduce a demonic beast that has never been publicly revealed before!"
바로…,it is...,It's...
죽은 땅에서 발견된 신종 마물입니다!,...a new species of demonic beast found in the dead lands!,It's a newly discovered species of demonic beast from the Dead Lands!
죽은 땅의 마물을…?!,a demonic beast from the dead lands...?!,A demonic beast from the Dead Lands...?!
멍청하긴…,how stupid...,How stupid...
"저거,",that thing...,That thing...
흉폭한 게 딱 봐도 광폭화가 진행된 마물이에요.,...is clearly a demonic beast that has gone berserk.,That thing is clearly a demonic beast that has gone berserk.
이거 괜찮은 건가…?,is this okay...?,Is this really okay...?
방어막 마법이 걸려 있으니까 괜찮겠지.,it should be fine since there’s a magic barrier.,It should be fine since there's a protective spell.
지금까지도 멀쩡했잖아.,nothing has happened so far.,It’s been holding up so far.
방어 마법은 아마 곧 무너질 거예요.,the magic barrier will probably collapse soon.,The defensive magic will probably collapse soon.
"경, 출입구에 인원 배치 다 끝났다고 했죠?","sir, you said the men have been stationed at the entrances, right?","Sir, you said the personnel have been stationed at the entrances, right?"
예.,yes.,Yes.
그럼 계획을 앞당기죠.,then let’s move up the plan.,Then let's move the plan forward.
"버,",l-lightning...?,l-lightning...?
번개…?,lightning...?,Lightning...?
신호다.,that’s the signal.,It's the signal.
"자,","now,","now,"
당장 전부 붙잡으세요!!,arrest everyone immediately!!,Capture everyone immediately!!
으악!!!,aah!!!,Aah!!!
"왜, 왜이러는 거야!!",w-what’s going on?!,"Why, why is this happening?!"
어디로 데려가는 거냐고!!,where are you taking us?!,Where are you taking me?!
제길…,damn it...,Sh*t...
왜 일이 이렇게 돌아가지?!,why is this happening?!,Why is everything turning out like this?!
전하!,your highness!,Your Highness!
이게 어떻게 된 일 입니까!,what is going on?!,What is the meaning of this?!
"젠, 젠장!",d-damn it!,Damn it!
나도 몰라!,I don’t know either!,I don’t know either!
대체 어떤 놈이 이런 짓을 벌인 거지?!,who the hell is behind this?!,Who the hell did this?!
발견하면 가만 안 두겠어.,I won’t let them get away with this.,I won’t let them off the hook if I find them.
미쳤나?,are they crazy?,Are they insane?
경기장에 걸어 들어가는 놈이 있잖아?,someone is walking into the arena.,Someone's walking into the arena?
저건…,that’s...,That’s...
사생아 자식…?!,...the illegitimate child...?!,...the illegitimate brat...?!
"저기, 저놈들도 잡아!","h-hey, arrest those people too!","Hey, capture those guys too!"
으으으…,ugh...,Ugh...
열쇠 내놔!!,give me the key!!,Hand over the key!!
으왓?!,ack!,Ack?!
찾았다!,found it!,Got it!
저리 비켜!!,get out of the way!!,Get out of the way!!
도망치게 두면 안 된다!,don’t let them escape!,We can't let them escape!
당장 잡아라!,catch them now!,Catch them immediately!
"제길,","damn it,","damn it,"
다 그 사생아의 소행이었던 거야.,it was all that bastard’s doing.,It was all that illegitimate child's doing.
당하고만 있을 것 같냐?!,do you think I’ll just sit back and let this happen?!,Do you think I'll just stand by and take this?!
오…,oh...,Oh...
쓸만한 놈이 있군.,there’s a useful one here.,There’s someone useful here.
자유로워지고 싶지?,"you want to be free, don’t you?",Don't you want to be free?
짤랑,jingle,Clink
내가 친히 풀어줄 테니…,"I’ll release you myself,",I'll personally set you free...
"당장 가서,",so go...,Go right now and...
그 천한 사생아 새끼를 통째로 씹어 먹어 버리라고!,...and devour that bastard whole!,...and devour that lowly bastard whole!
