origin_hangle,changed_hangle,first_translate,second_translate,reason,label
쏴아아아,쏴아아아  ,whoosh,whoosh,,shwaaa
끼익,끼익  ,creak,creak,,creak
아가씨?,아가씨?  ,my lady?,My lady?,,my lady?
뚝,뚝  ,drip,drip,,drip
뚝,뚝  ,drop,drop,,drop
무슨 일입니까?,무슨 일입니까?  ,what is it?...,what is it?...,,what's wrong?
이 늦은 시간에..,이 늦은 시간에.  ,...at this late hour...,...at this late hour...,,it's late...
툭,툭  ,tap,tap,,tk
비를 맞으셨잖아요.,비를 맞으셨잖아요.  ,you're drenched.,"You got caught in the rain, didn't you?","1차 영어 번역문 ""you're drenched.""의 1차 한글 번역문은 ""흠뻑 젖으셨네요."" 정도로 해석되며, 이는 [한글 대화] ""비를 맞으셨잖아요.""와 의미가 다릅니다. 원문은 '비를 맞았다'는 원인에 초점을 두고 있으며, 단순히 젖은 상태를 말하는 것이 아닙니다. 또한 ""비를 맞으셨잖아요""는 존댓말이므로 공손한 표현도 필요합니다. 따라서 능동태로 원문의 의미를 살려 다시 번역해야 합니다.",...and you'ra soaking wet.
무슨 일 있었습니까?,무슨 일 있었습니까?  ,did something happen?,"Did something happen to you, miss?","원문의 ""무슨 일 있었습니까?""는 존댓말이며, 과거 시제의 의문문입니다. 1차 영어 번역문 ""did something happen?""은 주어가 없고, 존댓말의 뉘앙스도 반영되지 않았습니다. 따라서 주어를 명시하고 공손한 표현을 사용해 능동태로 다시 번역해야 합니다.",did something happen?
풀썩,풀썩  ,plop,plop,,flop
!,!  ,!,!,,!
…,…  ,...,...,,...
"잠시만요,","잠시만요,  ","wait,...","wait,...",,"wait,"
지금 옷이 지저분해서..,지금 옷이 지저분해서.  ,...my clothes are dirty...,...my clothes are dirty...,,my clothes are dirty...
킁킁,킁킁  ,sniff,sniff,,sniff
안아줘,안아줘  ,hold me.,Hold me.,,hold me.
네?,네?  ,what?,What did you say?,"해당 [한글 대화]는 의문문이며, 상대방의 말을 되묻는 표현이다. 1차 영어 번역문 ""what?""은 의미는 유사하지만, 한국어의 ""네?""는 ""뭐라고요?"" 또는 ""뭐라고 하셨죠?""처럼 정중하게 되묻는 표현이다. 문맥상 상대방이 ""안아줘""라고 말한 직후의 반응이므로, 놀람과 확인의 의미를 담은 정중한 되물음으로 번역하는 것이 적절하다. 또한 주어가 없는 의문문이므로 영어 번역에는 주어를 포함해야 한다.",pardon?
추워..,추워.  ,i'm cold...,i'm cold...,,I'm cold...
자꾸 이러시면 곤란합니다.,자꾸 이러시면 곤란합니다.  ,you shouldn't keep doing this.,It would be troublesome if you keep doing this.,"[1차 영어 번역문] ""you shouldn't keep doing this.""의 1차 한글 번역문은 ""계속 이러면 안 돼요."" 정도로 해석되며, 이는 [한글 대화] ""자꾸 이러시면 곤란합니다.""와 의미가 유사하지만, 정중한 표현이 빠져 있고, ""곤란합니다""라는 말의 뉘앙스가 충분히 반영되지 않았습니다. 또한 원문은 존댓말을 사용하고 있어 공손한 표현이 필요합니다. 따라서 정중한 어조를 유지하면서 능동태로 다시 번역해야 합니다.",you shouldn't keep doing this.
스윽,스윽  ,lift,lift,,ssk
