					
	Korean	Definition	English	Context	Hashtags
	 골골	고양이가 기분이 좋거나 편할 때 내는 소리	❶ : meow ❷ : mew ❸ : purr ❹ : yeow ❺ : mreow ❻ : me-yow		#동물 #소리
	갸웃(거리다/대다)	❶ : 고개나 몸 따위를 한쪽으로 조금 비스듬히 기울이는 모양 ❷ : 궁금하거나 관심있는 것의 주위를 서성이다	❶ : confused ❷ : ponder ❸ : scan ❹ : study  ❺ : tilt		#행동 #모션
	갸웃(거리다/대다)	❸ : 어떤 의견이나 그 내용을 찬찬히 살피거나 잘 따져 봄	❶ : tilt ❷ : analyze ❸ : inspect ❹ : ponder ❺ : study		#모션 #머리 #제가 산 건 땅이지 남자가 아닌데요_KR_1
	게슴츠레	눈에 힘이 없이 아주 흐릿하여 거의 감길 듯한 모양	squint		#눈
	고롱고롱	고양이가 기분이 좋거나 편할 때 내는 소리	❶ : purr ❷ : yeow ❸ : mreow ❹ : me-yow		#동물 #소리
	곰곰	어떤 의견이나 그 내용을 찬찬히 살피거나 잘 따져 봄	❶ : analyze ❷ : inspect ❸ : ponder ❹ : study ❺ : scan ❻ : tilt		#감정
	구구구구	새나 비둘기가 우는 소리	❶ : chirp chirp ❷ : coo coo		#동물 #소리
	구릿	음식이 몹시 쉬거나 고기 따위가 많이 상해서 역한 냄새가 나는 상태	❶ : stench ❷ : stink ❸ : reek		#느낌 #상태
	궁시렁	마음에 탐탁하지 않아서 낮은 목소리로 자꾸 혼잣말을 하다	❶ : grumble ❷ : mumble		#작은소리 #소리 #감정
	그르르	사나운 짐승이 성내어 크게 울부짖는 소리	grrr		#동물 #소리 #화남
	긁적	세게 긁거나 문대는 소리를 자꾸 내다	❶ : scratch ❷ : ruffle ❸ : scruff		#작은모션 #행동 #소리
	까드득	단단한 물체가 강한 힘에 눌리어 깨지는 소리	❶ : crack ❷ : snap		#부서짐 #큰소리
	까딱	고개나 손발 따위를 앞뒤로 또는 아래위로 살짝 움직이는 모양을 나타내는 말	twitch		#작은모션
	까악	까마귀나 까치 따위가 우는 소리	caw		#동물 #소리
	깍	까마귀나 까치 따위가 우는 소리	caw		#동물 #소리
	깐족	쓸데없이 밉살스럽게 들러붙어 자꾸 말하다	tease		#행동 #모션
	깐죽	쓸데없이 밉살스럽게 들러붙어 자꾸 말하다	tease		#행동 #모션
	깜빡	불빛이나 별빛 따위가 잠깐 아주 어두워졌다가 밝아지는 모양	❶ : blink ❷ : flash		#작은모션
	깜짝	갑자기 놀라는 모양	❶ : surprised ❷ : gasp ❸ : flinch ❹ : jolt ❺ : wince		#표정 #감정 #느낌
	깨랑	목소리가 쇳소리처럼 맑으면서 또렷하고 힘있는 모양	mumble		#소리 #감정
	꺄르르	크고 경쾌하게 웃는 소리 (익살스럽게)	❶ : hahaha ❷ : hehehe ❸ : bwahaha ❹ : pfft ❺ : puahaha ❻ : giggle ❼ : chuckle		#웃음 #밝음 #소리 #아이 #여성
	꺄아	매우 놀라거나 위급할 때 갑자기 지르는 외마디소리	❶ : ahhhh ❷ : aaaaahhhhh ❸ : kyaaa ❸-🅐 : (Usage) Feminine. 		#큰소리 #놀람 #여성
	꼬르륵	❶ : 배가 고프거나 속이 거북하거나 할 때 뱃속이 끓는 소리를 나타내는 말	❶ : grumble ❷ : growl ❸ : rumble		#소리 #배
	꼬르륵	❷ : 액체가 좁은 구멍으로 가까스로 빠져나갈 때 나는 큰 소리를 나타내는 말	gurgle		#액체 #소리
	꼬옥	❶ : (소중히) 손을 잡는 모양	❶ : squeeze ❷ : clench ❸ : grab ❹ : grip		#행동 #모션
	꼬옥	❷ : (소중히) 포옹하는 모양	❶ : squeeze ❷ : grab		#행동 #모션
	꼴깍	적은 양의 액체나 음식 따위가 목구멍이나 좁은 구멍으로 단번에 넘어갈 때 나는 소리	gulp		#입 #소리 #식사
	꼴꼴	물 따위의 액체가 가는 줄기로 몰려서 조금씩 흐르는 소리	❶ : pour ❷ : glug		#액체 #소리
	꼼지락	자꾸 작게 움직이다	❶ : fidget ❷ : twiddle ❸ : wriggle		#작은모션 #행동
	꼼질	자꾸 작게 움직이다	❶ : fidget ❷ : twiddle ❸ : wriggle		#작은모션 #행동
	꽈악	힘을 주어 껴안는 모양	❶ : embrace ❷ : grab ❸ : hug ❹ : squeeze		#느낌 #모션
	꽈악	힘을 주어 묶는 모양	❶ : squeeze ❷ : clench ❸ : grab		#행동 #모션
	꽈악	주먹을 힘을 주어 꽉 쥐는 모양	❶ : clench ❷ : grip		#행동 #모션
	꽉	주먹을 힘을 주어 꽉 쥐는 모양	❶ : squeeze ❷ : clench ❸ : grab		#행동 #모션
	꽉	주먹을 힘을 주어 꽉 쥐는 모양	❶ : clench ❷ : grip		#행동 #모션
	꽝	총이나 대포를 쏘거나 폭발물이 터질 때 거세게 울리어 나는 소리	❶ : boom ❷ : kaboom		#부서짐 #큰소리
	꾸깃	구김살이 크고 매우 많이 잡혀 있다	glare		#표정 #화남 #종이 #천
	꾸벅	❶ : 자기도 모르는 사이에 순간적으로 깊이 잠들어 고개가 아래로 떨궈지는 모양	nod		#머리(head) #작은모션
	꾸벅	❷ : 머리나 몸을 빠르게 많이 숙였다가 드는 모양을 나타내는 말	❶ : nod ❷ : bow		#머리(head) #작은모션
	꾸욱	❶ : 단단히 힘을 주어 아주 세게 누르거나 죄는 모양	❶ : press ❷ : crush ❸ : push ❹ : smash ❺ : squeeze ❻ : squish ❼ : clench ❽ : grab		#행동 #모션
	꾸욱	❷ : 단단히 결심하거나 또는 몹시 고통스럽거나 억울하고 분한 일 등을 참느라고 힘주어 마주 물다	❶ : grit ❷ : clench ❸ : droop ❹ : slouch ❺ : slump ❻ : drop ❼ : sink		#작은모션 #조용함 #감정
